text,font_size,size_vs_body,is_bold,y_pos,line_length,word_count,is_all_caps,starts_with_number,ends_with_colon,page_num,doc_name,label
Faces Recognition and Facial Gender Classification,24,14,0,61,50,6,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
using Convolutional Neural Network,24,14,0,84,34,4,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
Mohamed A. Berbar,9,-1,0,114,17,3,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
Dept. of Computer Engineering and,9,-1,0,124,33,5,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
sciences,9,-1,0,135,8,1,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"Faculty of Electronic Engineering,",9,-1,0,145,34,4,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
Menoﬁa University,9,-1,0,155,17,2,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"Menouf 32952, Egypt",9,-1,0,166,19,3,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
m_berbar@el-eng.menofia.edu.eg,9,-1,0,176,30,1,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
0000-0001-5405-159X,9,-1,0,186,19,1,1,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
— samples. Feature selection is also integrated into the,10,0,0,208,56,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
Abstract Computational power in deep convolutional,10,0,0,209,50,6,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
training process by learning the weights in CNN.,10,0,0,219,48,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
neural networks has made it possible to have robust classifiers,9,-1,1,220,63,10,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
for faces and facial gender for many security issues and,9,-1,1,230,56,10,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
Convolutional layers are responsible for extracting features,10,0,0,231,60,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
computer vision problems. This paper proposes two,9,-1,1,240,49,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
[2]. The CNN has advantages over the traditional approach,10,0,0,242,57,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
convolutional neural network (CNN) models for face,9,-1,1,251,50,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
because of its resistance to geometric distortions and,10,0,0,254,54,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
recognition and facial gender classification. The models,9,-1,1,261,56,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"transformations [2]. Unfortunately, a traditional feature",10,0,0,266,57,6,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"consist of an image input layer, followed by three blocks of",9,-1,1,271,60,11,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"extractor is designed independently of the classifier, so it is",10,0,0,277,63,10,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"convolutional, normalization, activation, and max-pooling",9,-1,1,282,57,5,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
characterized as a static approach as it is not part of the,10,0,0,288,59,12,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"layers, and three fully connected layers. The performance of",9,-1,1,292,60,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"training procedure [3]. Hence, the CNN is designed to",10,0,0,300,53,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
the proposed CNN solutions is evaluated using five publicly,9,-1,1,303,59,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
overcome the weakness of the traditional feature extractor.,10,0,0,312,59,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
available face datasets. Two greyscale face datasets: Sheffield,9,-1,1,313,63,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"and AT & T. Three color face datasets, Faces94, Ferret, and The biggest benefit of CNNs is that they are considered",9,-1,1,323,115,21,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
Celebrity Face Images from Kaggle. The achieved,9,-1,1,333,47,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
easier to train. CNN has fewer parameters compared to,10,0,0,335,53,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
classification accuracy ranged between 99.0% and 100% on,9,-1,1,344,56,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
fully connected multi-layer perceptron (MLP) networks,10,0,0,346,53,6,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"the Faces94, Ferret, Sheffield, and AT&T datasets, and",9,-1,1,354,54,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
with the same number of hidden layers. The CNN approval,10,0,0,357,55,10,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
classification accuracy of 93.6% to 95.0% on the Kaggle,9,-1,1,365,55,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
promises success in a wide range of applications like,10,0,0,369,53,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
dataset. The proposed CNN can process and classify a small-,9,-1,1,375,59,10,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"character recognition [4], face recognition [5], human",10,0,0,381,54,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"size face image 32 × 32-pixel from the Faces94, Sheffield, and",9,-1,1,385,62,11,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"tracking [6], traffic sign recognition, and many others. In",10,0,0,392,59,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
AT&T datasets and 100 × 100 pixels from the Ferret and,9,-1,1,396,54,11,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"this paper, we propose a novel CNN model for gender",10,0,0,404,51,10,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
Kaggle datasets. The obtained results prove that the proposed,9,-1,1,406,61,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
classification and another model for face recognition. The,10,0,0,415,58,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
CNN models are an effective solution for face image,9,-1,1,416,51,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"gender classifier model demonstrated its robustness,",10,0,0,426,52,6,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
recognition and facial gender image classification. The,9,-1,1,427,55,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
proposed model produces competitive accuracy compared to,9,-1,1,437,56,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
especially when trained on a dataset and tested using a,10,0,0,438,55,10,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
several state-of-the-art methods.,9,-1,1,447,33,3,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
different dataset. The binary gender classifier model scores,10,0,0,450,60,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
Keywords—,10,0,0,458,9,1,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
Face recognition; facial gender classification;,9,-1,1,459,47,5,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"high accuracy on the Celeb Kaggle dataset, which is a large",10,0,0,461,59,11,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"convolutional neural network; max pooling layer, fully",9,-1,1,469,54,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
dataset (168550 images) and images have different,10,0,0,473,49,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
connected layer.,9,-1,1,480,16,2,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
backgrounds. The developed code for preprocessing and,10,0,0,484,53,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
machine learning was written using Matlab-19. The used,10,0,0,496,54,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
I.  I,10,0,0,498,5,2,1,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
NTRODUCTION,8,-2,0,500,11,1,1,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"computer was an XPS 18 all-in-one with a single CPU,",10,0,0,507,52,10,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
Face recognition is one of the most popular identity,10,0,0,513,52,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"4GB of RAM, and a 1TB HD.",10,0,0,519,25,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
recognition issues in security issues. Facial gender,10,0,0,525,52,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
classification focuses on recognizing key features used to,10,0,0,536,58,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
II.  R,10,0,0,538,6,2,1,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
ELATED WORKS,8,-2,0,540,12,2,1,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
differentiate between male and female people [1].,10,0,0,548,49,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
Although gender classification can play a significant role,10,0,0,554,58,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
Inequality between facial virility and femininity can be,10,0,0,559,56,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"in many computer vision applications, it has not been",10,0,0,565,53,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
used to improve the performance of face recognition,10,0,0,571,51,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
studied well compared to many popular problems of,10,0,0,577,49,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"applications in biometrics. In recent years, the field of",10,0,0,582,57,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
recognition and identification. This section discusses,10,0,0,588,54,6,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
automatic facial gender recognition has received increasing,10,0,0,594,59,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
previous works from the perspective of the classification,10,0,0,600,57,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
attention. The challenges are how to deal with the real-,10,0,0,605,56,10,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"methods applied. In [7-11], the authors used local binary",10,0,0,611,57,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
world facial images obtained from uncontrolled,10,0,0,617,46,6,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
patterns (LBP) and SVM. Ihsan Ullah et al. (2014) [7] used,10,0,0,623,58,11,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"environments such as customs, airports, and stadiums in",10,0,0,628,55,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
the spatially enhanced versions of the local binary pattern,10,0,0,634,59,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
varying conditions such as illumination changes or facial,10,0,0,640,57,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
(LBP) and Weber’s law descriptor (WLD) (SLBP and,10,0,0,647,48,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"occlusion (i.e., glass, beard). Recently, the computational",10,0,0,651,59,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
SWLD) for gender classification. They got an accuracy of,10,0,0,657,56,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
power in deep convolutional neural networks and the,10,0,0,663,51,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
99.1% at best on the FERET database. Lian and Lu (2006),10,0,0,669,55,11,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
availability of a large amount of data for the public have,10,0,0,674,58,11,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
[8] obtained an accuracy of 94.81% on the CAS-PEAL face,10,0,0,680,55,10,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
made it possible to have robust classifiers for faces and,10,0,0,686,57,10,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"dataset. Some methods, such as [7,8,9], divide the image",10,0,0,691,56,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
facial gender as well as for many other computer vision,10,0,0,697,55,10,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
into blocks and use LBP to extract features for each,10,0,0,703,52,10,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
problems. The traditional methods of face recognition and,10,0,0,709,57,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
block.A good performance could be achieved if the block,10,0,0,715,55,9,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
facial gender classification include stages of image,10,0,0,720,52,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
size for the LBP operator is selected and calculated with,10,0,0,726,57,10,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"preprocessing, feature extraction, and classification. Both",10,0,0,732,59,6,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"care, which is a rather difficult task because the choice of",10,0,0,738,60,11,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
feature extraction and classification are performed within a,10,0,0,743,60,8,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
the block size is dependent on the resolution of the images.,10,0,0,749,60,11,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
single network structure through learning from data,10,0,0,755,51,7,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
1,8,-2,0,796,1,1,0,0,0,1,8N-ICEEMGenderrecognitionv4.pdf,
"Fekri-Ersha (2019) [9] classified genders in human face 5000 face images (KAGGLE, 2018). Their results are",10,0,0,53,106,16,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
images based on modified local binary patterns (MLBP). accurate to 94.4%.,10,0,0,64,73,11,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
They got 93.29% accuracy on the ICPR dataset. Wang et,10,0,0,76,53,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
al. (2012) [10] proposed a variant of Local Binary Patterns,10,0,0,87,59,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
III.  D U P,10,0,0,94,11,4,1,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
ATASETS NDER ROCESSING,8,-2,0,96,22,3,1,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"(LBP), namely Local Circular Patterns (LCP). The",10,0,0,99,48,7,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"maximum accuracy was 94.64%. Sajja and Kalluri (2019) Except Kaggle dataset, the most used datasets are",10,0,0,110,103,16,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
unbalanced in the number of terms of females compared to,10,0,0,121,56,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
[11] have worked on gender classification from face images,10,0,0,122,58,9,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"using LBP, SVM, and back propagation. In this research, the number of males. In most of the public datasets, the",10,0,0,133,112,20,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
number of females is usually much smaller than the number,10,0,0,144,57,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"they have used the ORL dataset, which contains only 400",10,0,0,145,55,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"images, and the Nottingham Scan dataset, which contains of males. To resolve this problem, we evaluated the",10,0,0,156,107,17,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
proposed models with a mix of two datasets. The images of,10,0,0,167,57,11,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"100 images. After implementation, they gained 100%",10,0,0,168,50,7,0,1,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"accuracy for the ORL dataset and 71% accuracy for the males and females of people of various racial origins, some",10,0,0,179,113,20,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"people have glasses, and some have beards.",10,0,0,190,42,7,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"Nottingham Scan dataset, respectively. Sami et al. (2021)",10,0,0,191,57,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
[12] proposed facial gender classification using their,10,0,0,202,54,7,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
A. Faces94 dataset,10,0,0,209,18,3,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
proposed CNN. A preprocessing stage is preceded by the,10,0,0,214,54,9,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
The number of images per individual is 20 taken under,10,0,0,222,53,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
classification process. Their method achieved 95.0% using,10,0,0,225,57,7,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"artificial lighting. The number of individuals is 152, and the",10,0,0,234,62,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
the Kaggle dataset and 90% accuracy using the Nottingham,10,0,0,237,56,9,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
image resolution is 180 by 200 pixels (portrait format). The,10,0,0,245,60,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"Scan Dataset database, which is quite low in the number of",10,0,0,248,58,11,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"dataset contains 2,660 male and 399 female images. This",10,0,0,257,55,9,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
samples. Nazir et al. (2010) [13] used the 2D-DCT method,10,0,0,260,56,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
dataset contains a considerable number of images. Samples,10,0,0,268,57,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
for feature extraction and the K-means nearest neighbour,10,0,0,271,56,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
of the dataset are shown in Figure 1 [22].,10,0,0,280,42,9,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
(KNN) classifier. They achieved an accuracy of 99.30% on,10,0,0,283,56,9,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
the SUMS face dataset. Berbar (2013) [14] used the 2D-,10,0,0,294,54,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
DCT method to extract features and SVM for gender,10,0,0,306,49,9,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"classification. With 2-fold cross-validation, they achieved",10,0,0,317,59,6,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"accuracies of 99.90%, 93.3%, 98.6%, and 99.97% for the",10,0,0,329,54,9,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"UMIST, FERET, AT@T, and Faces94 datasets.Berbar",10,0,0,340,47,6,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
(2013) [14] also used GLCM for feature extraction.,10,0,0,352,50,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"Accuracy rates for UMIST and FERET, AT@T, and",10,0,0,363,45,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"Faces94 datasets were 100%, 93.11%, 98.8%, and 99.6%,",10,0,0,375,53,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
Figure 1: Samples of images from the faces94 dataset [22],9,-1,0,385,57,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
respectively. The drawback of 2D-DCT is that it is an,10,0,0,386,53,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"intensive computation algorithm. Sun et al. (2002) [15],",10,0,0,398,56,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
B. AT&T (Olivettti) dataset (ORL),10,0,0,403,33,5,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
used a hybrid approach of principal component analysis,10,0,0,409,54,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
The dataset contains 380 images of male persons and 50,10,0,0,416,54,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
and genetic algorithms. The error rate of 11.30% was,10,0,0,421,52,9,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
s.,14,4,0,427,2,1,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
images of female This dataset contains 34 subjects (5,10,0,0,431,53,9,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
reported. Duffner (2009) [5] proposed a CNN with six,10,0,0,432,52,9,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"females and 29 males), and 10 images per subject. All",10,0,0,443,53,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"layers. On the FERET dataset, a classification rate of 94.7%",10,0,0,444,60,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
was achieved. Liew et al. (2016) [16] proposed a CNN images are represented in grayscale levels and 92×112-,10,0,0,455,107,18,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
pixel size. This dataset is available in [23] and samples are,10,0,0,466,61,11,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
architecture for gender classification based on face images.,10,0,0,467,60,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
They got classification accuracies of 99.38% and 98.75% shown in Figure 2.,10,0,0,478,74,12,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"on the AT & T and SUMS datasets, respectively. Athenian",10,0,0,490,55,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
et al. (2021) [18] used 191 hand-crafted and fused features,10,0,0,501,59,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
for face gender recognition. They used both SVM and CNN,10,0,0,513,55,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
and gained the best accuracy of 86.60% using CNN. Serna,10,0,0,524,55,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
et al. (2021) [19] worked on gender detection using VGG-,10,0,0,536,56,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
Figure 2: Samples of images from the AT@T dataset [23],9,-1,0,539,54,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"Net and Res-Net, where they analyzed how bias affects",10,0,0,547,53,9,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
C. FERET dataset,10,0,0,557,16,3,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
deep learning. They divided the images into 3 ethnic groups,10,0,0,559,59,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
and experimented on a test group. They achieved the best The FERET dataset contains 631 males and 66 females.,10,0,0,570,109,19,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
average accuracy of 95.27% for the test group using VGG Figure 3 shows some samples of the FERET dataset [24].,10,0,0,582,110,20,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
and 95.67% using Res-Net. Considering the whole,10,0,0,593,47,7,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"literature review, it is clear that an improvement in gender",10,0,0,605,60,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
classification is needed. The main disadvantages of the,10,0,0,616,55,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
above gender classification research work are that the,10,0,0,628,54,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
feature extraction and the classification are performed,10,0,0,639,55,7,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
Figure 3: Samples of images from the FERET dataset [24].,9,-1,0,648,56,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"separately. In the case of CNN, which is a multilayer neural",10,0,0,651,60,11,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"network model [20, 21], it can optimize filters through",10,0,0,662,55,9,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
D. UMIST & Sheffield dataset,10,0,0,670,28,5,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"automated learning that is independent of prior knowledge,",10,0,0,674,58,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
The Sheffield (previously UMIST) Face Dataset consists of,10,0,0,684,57,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
which demonstrates a superior performance that can be,10,0,0,685,53,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
564 images of 20 individuals of mixed,10,0,0,695,37,7,0,1,0,2,8N-ICEEMGenderrecognitionv4.pdf,
achieved using CNN. Tilki et al. (2021) [17] used their,10,0,0,697,55,10,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
race/gender/appearance. Figure 4 shows samples of some,10,0,0,707,54,7,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
convolutional neural network (CNN) and the popular pre-,10,0,0,708,55,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
subjects. The dataset contains 480 male and 172 female,10,0,0,718,54,9,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
trained model Alex Net. Experiments were performed to,10,0,0,720,53,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
images with different pose positions. The images have,10,0,0,730,53,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
evaluate the performance of both models for the,10,0,0,731,47,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
different sizes ranging from 248×258 to 202×233.,10,0,0,741,48,7,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
identification of male and female classes from selected,10,0,0,743,55,8,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
2,10,0,0,793,1,1,0,0,0,2,8N-ICEEMGenderrecognitionv4.pdf,
"facial gender classification. Later, we modified the",10,0,0,53,52,7,0,0,0,3,8N-ICEEMGenderrecognitionv4.pdf,
